#Type;Year;Patched;Compagny;HardwareExtension;Machine;Genre;Info;File
Disk;unknown;Original;Bit2;fmpac;msx2;Game;Nyancle Racing;SOFTWARE/copyright/Bit2/nyancler.dsk.gz
Disk;unknown;Original;Bit2;fmpac;msx2;Game;Quinpl;SOFTWARE/copyright/Bit2/quinpl.dsk.gz
Cart;unknown;Original;Bit2;unknown;msx2;Game;famicle;SOFTWARE/copyright/Bit2/famicle.rom.gz
Disk;unknown;Original;Bit2;fmpac;msx2;Game;Famicle Parodic 2, disk A;SOFTWARE/copyright/Bit2/famicl2a.dsk.gz
Disk;unknown;Original;Bit2;fmpac;msx2;Game;Famicle Parodic 2, disk B;SOFTWARE/copyright/Bit2/famicl2b.dsk.gz
Disk;1988;unknown;Compile;fmpac;msx2;Game;aleste1;SOFTWARE/copyright/Compile/aleste1.dsk.gz
Disk;1988;unknown;Compile;fmpac;msx2;Game;aleste1t;SOFTWARE/copyright/Compile/aleste1t.dsk.gz
Disk;1989;unknown;Compile;fmpac;msx2;Game;aleste2a;SOFTWARE/copyright/Compile/aleste2a.dsk.gz
Disk;1989;unknown;Compile;fmpac;msx2;Game;aleste2b;SOFTWARE/copyright/Compile/aleste2b.dsk.gz
Disk;1989;unknown;Compile;fmpac;msx2;Game;aleste2c;SOFTWARE/copyright/Compile/aleste2c.dsk.gz
Cart;1988;unknown;Compile;fmpac;msx2;Game;aleste;SOFTWARE/copyright/Compile/aleste.rom.gz
Disk;1989;unknown;Compile;fmpac;msx2;Game;ales2trb;SOFTWARE/copyright/Compile/ales2trb.dsk.gz
Disk;unknown;xxxx;Compile;fmpac;msx2;Game;alestebi;SOFTWARE/copyright/Compile/alestebi.dsk.gz
Cart;1983;Original;Compile;unknown;msx1;Game;Bee & Flower;SOFTWARE/copyright/Compile/1983/bee_flow.rom.gz
Cart;1983;Original;Compile;unknown;msx1;Game;Exa-Innova (E.I.);SOFTWARE/copyright/Compile/1983/exinnova.rom.gz
Cart;1984;Original;Compile;unknown;msx1;Game;Megalopolis SOS;SOFTWARE/copyright/Compile/1984/megalopo.rom.gz
Cart;1984;Original;Compile;unknown;msx1;Game;Aqua Polis SOS;SOFTWARE/copyright/Compile/1984/aquapoli.rom.gz
Cart;1984;Original;Compile;unknown;msx1;Game;Hustle Chumy;SOFTWARE/copyright/Compile/1984/hustlech.rom.gz
Cart;1985;Original;Compile;unknown;msx1;Game;Crusader;SOFTWARE/copyright/Compile/1985/crusader.rom.gz
Cart;1985;Original;Compile;unknown;msx1;Game;C SO!;SOFTWARE/copyright/Compile/1985/c-so.rom.gz
Cart;1985;Original;Compile;unknown;msx1;Game;Godzillakun;SOFTWARE/copyright/Compile/1985/gojira.rom.gz
Cart;1985;Original;Compile;unknown;msx1;Game;Final Justice;SOFTWARE/copyright/Compile/1985/justice.rom.gz
Cart;1985;Original;Compile;unknown;msx1;Game;Championship Loderunner;SOFTWARE/copyright/Compile/1985/loderun3.rom.gz
Cart;1985;Original;Compile;unknown;msx1;Game;Lunar Ball;SOFTWARE/copyright/Compile/1985/lunarbal.rom.gz
Cart;1985;Original;Compile;unknown;msx1;Game;Swing (Madofuci Gaisya No Swingkun);SOFTWARE/copyright/Compile/1985/swing.rom.gz
Cart;1985;Original;Compile;unknown;msx1;Game;A.E.;SOFTWARE/copyright/Compile/1985/ae.rom.gz
Cart;1985;Original;Compile;unknown;msx1;Game;Choplifter;SOFTWARE/copyright/Compile/1985/choplift.rom.gz
Cart;1985;Original;Compile;unknown;msx1;Game;Loderunner;SOFTWARE/copyright/Compile/1985/loderun1.rom.gz
Cart;1986;Original;Compile;unknown;msx1;Game;Thexder;SOFTWARE/copyright/Compile/1986/thexder.crt.gz
Cart;1986;Original;Compile;unknown;msx1;Game;Zanac;SOFTWARE/copyright/Compile/1986/zanac1.crt.gz
Cart;1986;Original;Compile;unknown;msx1;Game;Zanac 2;SOFTWARE/copyright/Compile/1986/zanac2.crt.gz
Cart;1986;Original;Compile;unknown;msx1;Game;Guardic;SOFTWARE/copyright/Compile/1986/guardic.rom.gz
Cart;1986;Original;Compile;unknown;msx2;Game;Zanac Excellent;SOFTWARE/copyright/Compile/1986/zanac-ex.rom.gz
Cart;1986;Original;Compile;unknown;msx1;Game;Gulkave;SOFTWARE/copyright/Compile/1986/gulkave.crt.gz
Cart;1987;Original;Compile;fmpac;msx1;Game;Jagur;SOFTWARE/copyright/Compile/1987/jagur.rom.gz
Cart;1987;Original;Compile;fmpac;msx1;Game;Golvellius 1 ;SOFTWARE/copyright/Compile/1987/golvelli.rom.gz
Cart;1987;Original;Compile;fmpac;unknown;Game;Higemaru;SOFTWARE/copyright/Compile/1987/higemaru.rom.gz
Cart;1988;Original;Compile;fmpac;msx2;Game;Aleste;SOFTWARE/copyright/Compile/1988/aleste.rom.gz
Disk;1988;Original;Compile;fmpac;msx2;Game;Aleste 2, disk 3;SOFTWARE/copyright/Compile/1989/aleste_2_disk-c.dsk.gz
Disk;1988;Original;Compile;fmpac;msx2;Game;Aleste 2, disk 1;SOFTWARE/copyright/Compile/1989/aleste_2_disk-a.dsk.gz
Disk;1988;Original;Compile;fmpac;msx2;Game;Aleste 2, disk 2;SOFTWARE/copyright/Compile/1989/aleste_2_disk-b.dsk.gz
Disk;1991;Original;Compile;fmpac;msx2;Game;Gorbys Pipeline;SOFTWARE/copyright/Compile/1991/gorby_sp.dsk.gz
Disk;1991;Original;Compile;fmpac;msx2;Game;Puyo Puyo;SOFTWARE/copyright/Compile/1991/puyopuyo.dsk.gz
Disk;unknown;Original;C-TNG;unknown;msx2;Compiler;Compass 1.2beta;SOFTWARE/copyright/compjoet/compas12.di2.gz
Disk;unknown;Original;Compjoetania;mbstereo;msx2;Demo;Judgement of Sound;SOFTWARE/copyright/compjoet/judgesnd.di2.gz
Disk;unknown;Original;Compjoetania;moonsound;msx2;Demo;Jungle Symphonies;SOFTWARE/copyright/compjoet/junglsym.di2.gz
Disk;unknown;Original;C-TNG;moonsound;msx2;Game;SandStone;SOFTWARE/copyright/ctng/sandstone.dsk.gz
Disk;unknown;Original;Engine;mbstereo;msx2;Game;Dizzy;SOFTWARE/copyright/engine/dizzy.di2.gz
Disk;unknown;Original;Engine;mbstereo;msx2;Game;DASS;SOFTWARE/copyright/engine/pre-dass.di2.gz
Disk;unknown;Original;Engine;mbstereo;msx2;Game;Dass;SOFTWARE/copyright/engine/dass.di2.gz
Disk;unknown;Original;Engine;mbstereo;msx2;Game;DIX;SOFTWARE/copyright/engine/dix.di2.gz
Cart;unknown;Original;Falcom;fmpac;msx2;Game;Dragon Slayer 2 / Xanadu;SOFTWARE/copyright/falcom/xanadu.rom.gz
Disk;unknown;Original;Gamearts;fmpac;msx2;Game;firehw_a;SOFTWARE/copyright/gamearts/firehw_a.dsk.gz
Disk;unknown;Original;Gamearts;fmpac;msx2;Game;solitaic;SOFTWARE/copyright/gamearts/solitaic.dsk.gz
Cart;unknown;Original;Gamearts;unknown;msx1;Game;thexder;SOFTWARE/copyright/gamearts/thexder.rom.gz
Disk;unknown;Original;Gamearts;fmpac;msx2;Game;fireha1c;SOFTWARE/copyright/gamearts/fireha1c.dsk.gz
Disk;unknown;Original;Gamearts;fmpac;msx2;Game;fireha2;SOFTWARE/copyright/gamearts/fireha2.dsk.gz
Disk;unknown;Original;Gamearts;fmpac;msx2;Game;firehw_b;SOFTWARE/copyright/gamearts/firehw_b.dsk.gz
Disk;unknown;Original;Glodia;unknown;msx2;Game;Testament, disk a;SOFTWARE/copyright/glodia/testamea.dsk.gz
Disk;unknown;Original;Glodia;unknown;msx2;Game;Testament, disk b;SOFTWARE/copyright/glodia/testameb.dsk.gz
Cart;unknown;Original;Hal;unknown;msx1;Game;Eggerland Mystery;SOFTWARE/copyright/Hal/egger.rom.gz
Cart;unknown;Original;Hal;unknown;msx1;Game;Eggerland 2;SOFTWARE/copyright/Hal/egger2.rom.gz
Cart;unknown;Original;Konami;unknown;msx1;Game;Athletic Land (beta?) RC700b;SOFTWARE/copyright/Konami/athland2.ri.gz
